"PCON11CD","Total_Population","Total_Households","Total_Dwellings","Total_Household_Spaces","Total_Population_16_and_over","Total_Population_16_to_74","Total_Pop_No_NI_Students_16_to_74","Total_Employment_16_to_74","Total_Pop_in_Housesholds_16_and_over","Total_Population_3_and_over","k001","k002","k003","k004","k005","k006","k007","k008","k009","k010","k011","k012","k013","k014","k015","k016","k017","k018","k019","k020","k021","k022","k023","k024","k025","k026","k027","k028","k029","k030","k031","k032","k033","k034","k035","k036","k037","k038","k039","k040","k041","k042","k043","k044","k045","k046","k047","k048","k049","k050","k051","k052","k053","k054","k055","k056","k057","k058","k059","k060"
"E14000597",91567,40128,41387,41947,76666,69074,69074,42276,74730,88747,4643,9277,24549,22051,14466,832,26332.8125054,2111,34429,27450,9615,82812,2776,991,175,401,1973,1431,1008,80306,2425,1471,720,6311,3270,989,9127,9115,7542,16043,22119,8817,8645,5629,35163.86849484,9305,22679,11836,20720,10386,8926,10115,20908,8491,2766,14209,28067,59,3331,1751,493,6528,2185,2912,4023,3130,2244,1793,4620,6581
"E14000598",103593,44732,45682,46337,87705,82328,82328,54577,83852,100311,5433,9564,34465,21535,10084,606,43080.3549988,3905,49462,25814,8800,92276,4208,1123,233,389,2605,1556,1203,88049,3923,2057,820,7728,2463,1668,3347,7494,12489,22998,24377,5221,14625,8557,28087.76499921,8191,19865,17172,35427,17111,8146,13378,20231,16596,2786,17673,36904,57,3078,1867,535,7050,1862,3733,8364,4456,2632,2541,7627,7051
"E14000599",95368,41082,42515,42668,77117,70061,70061,47466,75649,91084,6841,10332,29122,22094,13444,814,18754.4659339,1481,30422,32391,9032,79755,3557,1615,2205,698,1257,5461,820,83777,1331,2527,1412,7136,3683,281,2810,12799,16922,10087,25967,6579,8028,3873,32151.34363564,9993,26770,10099,17798,5955,11879,5775,31858,8259,2978,13892,33574,44,4026,3471,570,8049,2486,2459,4589,3543,2479,2949,4148,6689
"E14000600",100809,41579,42837,42920,80805,71846,71846,46194,77706,96356,7209,11629,26975,23765,15868,1093,16236.7072351,3197,30334,35515,8911,87532,3093,2063,916,499,1863,4145,698,88004,1855,2621,1198,6982,3681,282,5098,16487,11095,10222,25497,9812,5650,3072,32943.17741272,10693,23124,10123,26157,7858,13130,5516,29990,8346,2899,14068,32126,34,2689,3342,510,7133,2445,2324,5641,3042,2358,2417,5021,7289
"E14000601",107365,46316,47872,47989,86366,78487,78487,52477,85750,102453,7861,11957,33836,24298,14953,719,25549.8469049,624,37036,33632,9909,99385,2966,590,844,159,1016,1966,439,99077,1445,2306,821,8014,4337,130,1965,15589,18858,11550,26636,11216,7812,4239,37949.30140443,11127,28419,9183,20953,4988,11485,6368,30937,13410,3721,15031,37446,62,4975,3714,723,8245,2519,2788,6190,3970,3006,2679,5002,6279
"E14000602",124692,53770,55214,56308,105365,101112,101112,63858,101362,119805,7722,10622,45979,20708,8493,488,44232.3127559,4118,66433,26498,9389,92920,5822,2279,2898,748,4005,14162,1858,97150,4535,3066,2658,9267,1954,2930,1291,5108,16456,33380,21993,9476,21538,12757,27920.93412294,8325,18026,21601,49713,24619,10956,7612,24552,27794,4219,18109,45749,68,2316,3082,414,7037,1627,4737,12290,4794,3150,3382,8630,9067
"E14000603",95188,40464,42419,42429,78752,69042,69042,46477,77324,92477,4679,10509,21179,28152,20012,1014,5348.9435912,1468,19082,44106,9375,93483,690,197,29,40,428,205,116,91619,798,573,199,9183,3691,0,21722,13454,5421,1466,30964,3998,4856,785,32309.99307425,11003,29040,9333,18910,3556,18975,2465,35886,4821,1832,15047,31430,1178,4575,4304,523,7923,1699,2460,3567,3060,1882,2468,4334,6202
"E14000604",88633,37027,38536,38706,70640,62947,62947,42457,69286,84956,6150,10789,25520,21839,13650,1014,15496.8796063,1445,24252,33185,8044,74453,3028,2201,309,410,2448,4830,954,76047,1662,1701,661,5760,3785,20,7119,10549,9947,11088,25338,6361,4952,3085,25357.24268944,8586,22172,7883,23398,4471,11095,17915,18140,3939,2555,10941,31516,23,3593,1430,294,5396,1706,1671,6792,5485,2190,2670,4144,4761
"E14000605",93637,38290,39374,39385,77107,67807,67807,46251,74470,90861,4822,10449,21893,26909,18141,994,9551.1055311,2804,20703,42053,8259,89696,1396,1078,221,39,587,444,176,90528,534,333,152,7505,4092,1,14761,14238,5730,4276,30684,3819,3370,1135,28604.73238779,11201,25205,9056,23551,4460,19234,3170,36164,3906,2070,13845,32406,307,3816,4981,640,6708,1370,2075,5116,2586,2084,2479,5415,6507
"E14000606",98790,39751,41422,41437,79135,71276,71276,48608,78826,94974,6375,12064,26421,25396,15940,607,16126.3953738,343,25497,39385,8877,89319,2220,902,149,173,1167,4028,832,88185,2285,2640,1315,6157,4942,10,7453,11422,12402,10015,29701,5379,4363,3681,25930.33601844,9712,30341,8911,15776,4924,16406,9182,33219,4204,2913,13741,34867,157,5842,3172,611,9374,3115,2056,4855,3718,2640,2470,4277,3927
