"PCON11CD","Total_Population","Total_Households","Total_Dwellings","Total_Household_Spaces","Total_Population_16_and_over","Total_Population_16_to_74","Total_Pop_No_NI_Students_16_to_74","Total_Employment_16_to_74","Total_Pop_in_Housesholds_16_and_over","Total_Population_3_and_over","k001","k002","k003","k004","k005","k006","k007","k008","k009","k010","k011","k012","k013","k014","k015","k016","k017","k018","k019","k020","k021","k022","k023","k024","k025","k026","k027","k028","k029","k030","k031","k032","k033","k034","k035","k036","k037","k038","k039","k040","k041","k042","k043","k044","k045","k046","k047","k048","k049","k050","k051","k052","k053","k054","k055","k056","k057","k058","k059","k060"
"E14000677",82769,36073,37206,37207,67782,61056,61056,34821,66937,79759,4942,9004,20879,22643,14158,476,11045.8306155,849,22480,31040,8685,81690,404,209,93,38,197,58,80,81046,421,490,257,6160,4376,76,5828,13792,15636,1909,23077,8160,4270,1610,44121.45524224,10363,24113,7916,10351,4000,9167,2913,26720,4285,3277,9425,25396,148,2793,5331,1382,4986,1805,1588,1566,1440,1751,2753,2926,4952
"E14000678",93956,41627,44534,44600,79006,65920,65920,43292,76632,91308,4462,9417,19453,25995,23498,1614,10442.9993806,2423,19813,42231,9460,92228,714,176,24,52,487,156,119,89325,1055,796,195,8083,3272,14,15064,11207,9574,8249,31335,3758,5926,1537,34009.91747208,11134,26778,9044,24557,3550,15666,3191,29126,7444,1565,14709,28583,681,3560,2062,875,6791,1739,3132,3920,1879,1790,4054,4280,6176
"E14000679",149842,46009,46720,46846,113826,109376,109376,61082,112683,141909,13050,20954,55832,24502,9393,407,61041.8155933,1143,47916,50884,10200,34593,5807,27679,19872,19597,13480,23773,5041,67341,3089,9750,13532,3531,4508,794,3676,5213,19066,18865,18073,11325,16047,15846,29961.80978805,12221,27273,11048,33907,21656,5358,38415,15271,5856,7348,22551,38531,55,4529,1946,387,12066,4221,6949,5601,4019,5110,2564,5087,5856
"E14000680",95282,38897,40541,40555,77096,68474,68474,48057,75231,92223,5304,11580,22224,27601,17072,997,8222.0815444,2073,20081,42600,8665,91741,1160,434,30,134,1060,502,221,87228,1658,1215,332,8018,3566,8,16116,10006,7764,6353,28334,5072,4864,2098,24240.4953224,9378,24803,9785,26303,4389,19719,3554,33894,6297,1784,13927,34130,655,3956,3959,464,6914,1657,2123,7214,2459,2620,2963,5035,5355
"E14000681",105074,42399,44042,44073,84938,75837,75837,54043,82954,101300,6404,12392,26511,29491,17673,1048,9720.8536059,2318,25130,44331,9504,98239,2212,966,278,202,1602,1168,407,96028,1561,1146,367,8246,4352,10,15179,12878,6312,9368,32149,4605,5123,2505,26928.30159637,10742,29499,10497,26686,4707,20054,10751,34137,5011,2102,14829,39214,285,5103,2535,578,7543,3382,2239,7294,5165,3103,3020,4967,6065
"E14000682",96024,41852,42917,43020,78480,68753,68753,46786,77508,92595,5744,10532,24310,25538,18428,1042,17164.5365229,1076,23713,37876,10381,91201,1525,443,120,442,1302,601,390,89558,1315,819,426,7425,3876,30,8293,14066,9928,10487,31097,4591,5731,2735,33401.47434585,10490,28581,9290,18586,4132,13856,5598,31098,7502,2258,14682,32104,116,4277,3966,1213,7616,2221,1940,3981,3272,2063,2438,4163,7165
"E14000683",100377,43945,46985,47066,84042,73509,73509,45077,81919,97486,4837,10263,21656,30026,22554,1015,10315.5440094,2204,21186,45164,10260,98902,628,155,46,26,343,185,92,97276,839,726,262,9652,3809,1,16781,16205,7864,6070,31595,4102,7422,1684,39955.37867327,11393,29039,9294,19272,4105,15192,1697,31924,7949,2904,14518,30559,2000,3775,4711,437,7714,1882,2962,2924,1469,1556,3162,4564,5752
"E14000684",106852,48518,51052,51440,89071,75561,75561,47651,86791,103454,5606,10955,25560,27051,23014,1733,23596.2814124,2463,28935,39341,12640,100788,1850,708,108,291,1778,790,539,95477,2825,2165,920,7938,3653,268,9438,11235,11895,18835,31206,6032,10758,4645,43484.00429398,11521,30259,11101,21757,6489,12731,5847,30883,8464,2980,15410,32241,104,3989,2574,467,8652,2051,3421,3199,2242,2072,2431,5147,8760
"E14000685",103763,43281,44316,44330,83934,76310,76310,55097,83213,99746,6627,11872,28261,28209,15517,717,15786.6702178,723,25295,42787,10464,98672,1430,1448,116,244,995,505,353,96947,1204,1080,424,8931,4202,16,13133,12882,10632,7291,31301,6087,5537,2377,28694.77485792,10399,31952,11298,21820,4469,19211,4021,42522,5985,2417,15766,39331,156,5041,5030,645,9146,3333,2409,5754,3422,2614,3480,5059,6425
"E14000686",85633,35560,36967,36985,70059,62580,62580,41088,69037,83025,4506,9983,19463,25429,16229,715,5666.0169234,1028,18563,38871,7251,84316,582,150,53,49,297,128,58,83175,553,393,139,7384,3870,10,16057,12321,6228,2021,26626,4397,4031,984,28584.02906324,9883,23172,8198,21024,4026,17367,1386,31645,4229,2082,12501,28587,1590,2979,4964,450,6818,1768,2131,4179,2356,1964,1809,3868,4370
"E14000687",112059,41506,42060,42239,83894,78626,78626,44326,83246,106082,9862,16682,33644,23904,11180,495,38082.7496271,650,32589,35496,11252,52962,6594,3596,989,3507,6413,30608,7390,65173,2670,8532,8849,3528,5261,55,2339,8130,15663,16083,20889,10192,9754,9999,27198.21269355,9290,24911,8507,18732,9992,7767,19175,19896,3966,5502,15414,28912,35,3212,1734,374,8112,2939,3167,3798,2724,2814,2403,4474,6243
"E14000688",86913,37326,38798,38828,71310,64039,64039,41719,70719,84130,4803,9752,21324,24753,15554,596,12340.4365925,681,21323,35741,8702,85007,741,224,68,70,505,178,120,83949,657,649,264,6833,4343,56,10780,15034,8532,4305,27152,6322,3432,1269,32111.79744646,10581,26131,9233,16875,4225,14051,2804,32592,4791,2535,12837,28882,197,3048,5643,726,7671,1729,2326,3429,2123,1957,2132,3585,5413
"E14000689",99623,42308,43450,43459,81812,72643,72643,48271,80282,96362,5500,11074,24497,27774,19666,814,10473.9035953,1535,21297,45240,8827,96719,1007,540,314,46,428,362,207,96544,654,442,214,8783,4239,39,13467,18631,7729,3562,32546,5404,3780,1235,33303.66016866,11332,28117,9437,22612,4207,17109,5404,36083,4052,1950,13885,34386,279,4173,4590,819,7723,1829,2164,5262,3757,2194,2748,4518,5924
"E14000690",89759,35884,36600,36711,72017,65820,65820,41458,70678,86128,5933,10627,25807,21979,12214,613,18960.2684552,1341,28069,30725,8463,68736,3465,2193,660,419,3820,8862,1604,72650,1734,2731,1491,4829,4366,143,1975,12537,11115,11082,21309,9886,4311,4082,28364.66059019,9530,22016,8163,20028,6856,8383,19160,17144,3547,3376,11406,30052,28,3987,1283,386,5254,2152,2338,5003,3746,2376,2768,4789,4724
"E14000691",103053,40231,41077,41155,78799,72904,72904,45221,78221,97967,8498,14221,30949,23296,11963,533,25808.5259597,578,29673,34666,9899,69566,5721,2179,496,1143,3756,15960,4232,76296,2319,4701,4334,4816,4698,30,2646,9761,13789,14928,24368,7571,7780,6321,25876.59630613,9134,24840,8362,20421,7161,10230,15814,22990,4684,4451,13187,32034,59,3843,1950,390,7337,2637,2314,4860,3242,2398,2818,5194,5728
"E14000692",97354,38179,38905,39027,79772,72494,72494,48075,78600,93643,6153,10332,30549,23306,13857,805,21064.2213095,1172,30296,37087,7565,68112,4868,5873,1109,949,4883,7119,4441,65781,2967,10242,3945,5316,4577,225,3561,10906,8664,15886,25292,3310,9057,5636,24398.72062989,9200,19511,8688,30474,7662,11114,21899,19976,3268,3239,13555,34520,34,3569,1654,252,6682,1812,2829,7941,4561,2439,2371,5675,4960
"E14000693",95084,39751,41370,41371,77293,68963,68963,46832,76323,91535,5882,10760,25518,25540,15628,946,13849.259272,970,25072,37564,8682,84349,2269,2836,900,233,1560,2232,705,86073,1268,1432,522,6477,4521,95,8140,12373,10308,9995,28431,6264,4551,2749,27876.79344895,9453,26689,8551,20295,4754,15434,14183,26337,3685,2655,12849,33983,128,4872,2379,418,6796,2488,1625,5908,5324,2464,2410,4620,4736
"E14000694",104197,41434,42437,42484,83843,74665,74665,52258,82584,100444,6265,12743,26363,28518,17474,1034,13630.2826679,1396,24538,45745,7749,91573,2490,2239,775,387,4160,1378,1195,90216,2321,1231,793,7148,4491,179,13662,14349,5421,9027,32862,3511,4738,2522,23965.15262536,10553,25990,10011,30556,5973,18342,12716,30706,5330,2001,14899,37359,68,4555,2024,402,7050,2119,1795,8708,4671,2623,3124,5335,6786
"E14000695",94050,41013,42596,42634,76846,69386,69386,45926,76001,90545,5731,10213,25284,24893,15336,744,14485.8572303,878,24987,36110,10092,91075,1113,727,80,20,414,506,115,90847,648,749,317,8166,4145,8,10444,19318,8857,3969,29266,5672,5601,1685,34149.68014417,10137,29061,9543,14495,4099,12961,4285,33314,6682,3368,12918,33008,72,4101,7635,757,8444,2927,2124,3257,1505,1907,2169,4167,5066
"E14000696",110151,41619,42730,42832,83022,77873,77873,48435,81941,104195,9886,15603,34239,24048,10517,473,30611.9145393,1083,32060,35577,10861,63660,4483,4321,963,545,6360,28298,1521,77352,2076,3603,2916,4762,4244,132,2196,9688,15915,14997,22175,11419,7635,7185,27646.39695988,9497,27754,8724,20673,8894,8220,23327,20349,3271,5151,13916,34519,51,4397,2106,594,7214,3450,2934,4267,3132,3555,3506,4142,6644
"E14000697",109074,43691,45839,45870,85735,76640,76640,53792,84753,104441,7768,14238,29245,29409,16822,1079,15232.0239148,1054,23679,47507,8805,98714,2757,2055,429,444,2855,859,961,91193,3323,1753,730,7717,4008,22,15631,12756,7556,9878,32561,4622,6005,2607,23029.27267555,9911,22814,9557,36730,5144,20066,13128,30182,5387,2071,14439,39353,121,3520,2647,421,6858,2270,1968,11576,5187,3090,2384,5401,4843
"E14000698",105998,43900,45139,45443,89348,81029,81029,51020,83529,102256,6003,9660,28835,23322,14900,949,21993.6398563,5866,40395,33258,10155,98230,1806,901,145,218,3145,617,936,94229,1892,2120,877,7632,3462,1425,5741,11474,15171,12955,25869,8001,9482,4369,33440.38480587,9750,26408,16857,24908,15780,10863,5903,27111,15753,2555,17014,34006,180,3545,2458,1274,8667,2436,3714,4783,1966,2273,3261,6191,7768
"E14000699",97504,40548,41774,41783,80207,71244,71244,49960,79049,94541,5038,11082,23920,27558,18055,830,12610.4780741,1218,21077,43990,9346,94175,1223,625,75,114,738,334,220,92299,1154,773,216,8579,4077,21,14422,13201,8277,5712,32645,3434,4113,1637,27455.41956289,10195,28877,10868,23641,4599,18693,3124,38336,5851,1909,14346,35614,139,4050,4992,698,7454,2633,2086,5332,2781,2333,4975,4815,5564
"E14000700",92804,37820,39153,39165,74463,66907,66907,44890,73542,89333,5813,11320,22564,26012,15921,727,10259.0032603,965,21052,39384,8785,89630,1147,354,90,109,791,507,176,87342,1038,1123,442,7616,3849,10,11420,13065,9987,4308,27295,6042,3922,2019,26428.50623999,9850,26741,8532,18852,3899,16835,4867,32172,4825,2311,13267,31623,897,5066,3111,624,7297,2286,2044,4252,2581,2196,2912,4514,4925
"E14000701",125401,43819,44596,44661,98334,92263,92263,59575,97623,119210,10078,15352,42424,26538,12801,478,29738.0324704,712,35250,47155,10456,56263,4596,28496,8445,1090,13187,8897,4427,71869,2671,6897,6785,4814,5711,176,2341,16182,10634,15435,23425,11218,8607,9716,27985.31761813,11706,28513,9353,25407,10170,11847,21302,31272,5415,4638,15766,43809,26,3757,2427,429,10060,9532,5714,5931,2766,4700,2811,3732,5072
"E14000702",92651,38067,39079,39107,74916,68420,68420,48752,72609,88856,6188,10368,26854,22486,13158,616,13659.4677575,2318,25383,36894,8256,84917,1690,1997,458,87,1720,1253,529,83594,1143,2033,787,7314,3232,219,9171,12820,10748,5926,27306,3839,6537,2200,24437.54905199,8937,25687,11182,22210,6812,15635,3866,35582,7307,1981,13799,34953,108,3616,4681,524,7754,2511,2145,5380,3980,2144,4042,4116,5899
"E14000703",120608,46640,47796,48224,96242,87750,87750,59414,94773,115172,8830,14197,42247,24890,15267,1196,29738.7303872,1471,37866,43547,9138,80150,5724,8728,1508,777,9376,7057,7288,71435,5995,8806,4789,6442,4120,218,4294,12594,7285,24041,25744,5147,14910,8813,26676.29267327,10350,18225,9191,44763,9426,11054,29392,19354,5480,3678,16436,42978,18,3674,1557,237,7924,1875,3604,12168,5684,2941,1975,6762,6611
"E14000704",112985,49389,51708,52013,92884,81629,81629,50749,91034,109226,6212,12507,26097,31430,22153,1312,16119.8475451,1888,28193,44359,12821,107141,1316,427,94,228,2980,468,331,103459,1911,1513,804,9050,4276,50,14771,12556,11259,13132,32575,5454,10716,3808,41617.01819694,12898,33537,11070,20645,5210,16407,4765,35269,7686,3663,15660,35089,579,4956,2673,1326,7801,3221,2983,3406,3013,3064,3796,4557,7114
"E14000705",86167,35858,37968,37979,71472,63488,63488,41202,69544,83664,4222,9362,18709,25857,17079,813,4858.7561953,1980,19330,38527,8057,84839,558,164,30,1,309,201,65,83089,704,536,235,7956,3673,23,17635,12554,4918,2536,26960,4339,3996,1323,29709.72035094,10197,25333,8571,17578,4317,16954,1438,32114,4405,2149,12916,28286,1094,3967,5483,653,6283,1620,1827,3324,1811,1839,2466,3846,5070
"E14000706",81914,37288,39807,39885,68658,59057,59057,37866,66961,79571,3973,8383,18195,23953,18163,950,10119.1095308,1726,18331,35175,8724,79688,823,424,133,26,444,190,186,78335,875,702,259,6857,3281,6,10817,13010,6687,8675,27676,2907,6235,1405,33038.77218508,9904,22568,8489,20592,3574,13517,2332,28162,5092,1790,10976,26890,359,2447,4774,304,5073,1166,2691,3613,2170,1420,3709,3589,4790
"E14000707",91719,39490,41350,41353,75828,67333,67333,43030,74473,89061,4490,10164,19997,27776,18477,781,5160.8734675,1406,18937,41768,9114,90036,650,376,64,0,295,230,68,88374,1000,532,180,8970,3530,3,20744,11115,6966,2029,29054,4362,5401,823,33421.83675158,10870,26918,9037,19103,3922,16672,1163,33179,5529,2545,13215,29815,1827,3766,4790,937,6802,1966,1788,2732,1147,1529,3265,4633,6037
"E14000708",97697,42669,43738,43767,80078,71482,71482,42394,79367,94334,5589,10752,24458,27037,16560,639,17511.944463,714,31420,32928,9082,92290,1910,654,239,81,1203,875,445,93324,558,963,605,5495,5874,38,5804,16650,14530,6725,25856,11415,4865,2256,44922.89239646,12113,26191,9117,17611,5577,9863,9222,27370,4542,4439,12719,29675,44,2949,3627,406,6972,2730,2263,3113,2155,2010,2989,4778,6466
"E14000709",94506,42712,44671,44679,77511,70470,70470,42425,75728,90788,5902,9956,27993,23299,14063,619,22913.7683817,1800,31847,30159,9671,89076,959,613,456,187,1434,872,909,87643,896,1440,920,7029,4277,79,2459,15917,11754,14541,20577,14716,7018,3295,43571.48515691,9669,26165,8266,16073,5867,6765,10811,24433,6062,4186,11915,30510,39,3093,4328,611,6936,2196,2643,3473,1824,2198,3146,3819,6146
"E14000710",92533,40286,41513,41526,75576,67783,67783,45506,75010,89269,5468,10405,24223,25445,15659,644,16461.2569406,566,24541,36306,9242,85501,2341,1091,887,57,850,1554,252,87519,884,860,403,7569,4138,19,14255,15046,6977,5239,30012,4307,5570,1606,33894.86109219,10593,26098,9930,18380,4296,12453,7524,31234,4867,2896,13429,32077,73,4240,4113,879,8122,2087,1915,3787,1923,1821,3297,4915,6274
"E14000711",98830,39657,40878,40932,79116,72504,72504,47132,78025,95064,6188,12228,25711,25671,13997,644,20644.7737179,1096,26593,37370,9927,88558,1906,2726,870,322,1451,2209,788,89406,1294,1695,898,6834,4490,266,6076,11282,18337,5214,28202,4136,6941,2694,28807.83504259,9669,31909,10559,15108,6800,13842,7204,32334,5873,3268,13807,33325,156,4960,3648,708,8517,2812,2049,3502,3298,2222,3176,4070,5916
"E14000712",112156,46444,48702,48926,89624,81931,81931,56385,88097,107434,7739,13370,32155,27601,15464,741,19993.1290324,1534,30996,41322,11682,99376,3426,3102,593,475,1452,3422,310,100669,1390,3050,1498,8579,4205,119,9601,18459,11291,9343,30959,6651,8387,3821,35355.74302052,11069,33658,11653,19573,5916,15391,4853,40040,9682,3623,16517,39868,134,4482,6365,1167,9814,2702,2731,3956,3717,2578,3869,4397,8325
"E14000713",96699,41461,42844,42879,78348,69453,69453,46548,77257,93123,5965,11073,24260,25892,17110,887,18017.5615003,1094,22310,38937,10949,93469,1202,466,33,160,529,615,225,91304,1156,1011,240,7954,3766,10,7662,11657,14172,9272,28588,6166,6309,2342,31357.24868465,9860,30022,10418,18043,4299,13245,3135,31934,9762,2728,12946,33602,50,3568,4808,634,6733,2261,2370,3141,1758,2436,6988,4069,5725
"E14000714",104391,44858,46680,46698,84899,75754,75754,51976,83852,100840,6028,12047,26212,29180,18454,968,11422.9198565,1145,23152,44206,11102,101498,923,420,84,62,816,436,152,97006,1645,2594,862,9708,3769,6,17336,15030,9605,4565,30517,6425,7151,1558,32559.50258089,10511,30397,10425,21055,4360,17267,2359,37440,9003,2642,14949,37027,928,4026,6886,728,9154,2218,2700,4054,2061,2389,3409,4891,6008
"E14000715",101720,40431,41699,41744,80964,73191,73191,47639,80248,97749,6647,12804,27291,25463,15590,700,18725.3354586,744,26202,39584,9353,84226,2066,7538,550,477,2039,2885,1939,88076,1016,3770,2731,6467,4457,13,6754,13321,13248,8292,26404,7008,6524,3507,29850.6743407,10310,30464,8952,16164,5010,14323,8776,32432,4594,3714,13656,33983,392,5741,3568,690,8840,3147,2229,3784,2912,2586,2647,4253,4773
"E14000716",88243,38612,40237,40263,70626,64007,64007,38038,69644,84415,6132,10379,23093,22536,13025,628,18845.4680565,1003,25974,29178,10317,85675,733,268,140,115,792,251,269,83989,652,1446,649,6524,3736,31,5005,12450,16300,6504,23477,7157,7580,1941,32867.20542726,8315,27291,7441,10242,4601,7977,3055,25697,8410,5054,12430,25608,181,2990,6280,438,7432,2937,2009,1526,815,1822,1623,3226,5281
"E14000717",97277,42079,44355,44438,79748,70234,70234,41264,78721,93925,5528,10514,22404,26277,19481,890,16470.8922057,1047,24665,37354,11063,94215,1159,446,116,18,624,439,260,91302,1634,1760,1045,7700,4166,7,13059,10487,13610,6719,27219,7255,6926,2504,40568.55952436,10905,29112,8418,11336,4135,11798,3038,28323,8233,4258,14068,27196,455,4034,3899,562,7422,2026,3911,2512,1197,1928,1836,3167,6081
"E14000718",112628,46358,47507,47982,88754,84322,84322,54212,86502,106537,9776,12906,44228,20271,8897,519,51416.7012449,2261,42648,31690,10599,66006,6144,3870,1223,839,9706,22639,2201,73854,3959,4028,3810,6787,3144,463,1501,4142,12456,29863,15972,18202,11656,11138,29024.79153602,8310,20251,9261,35523,11225,4551,33719,11575,6512,5374,13602,40610,50,3132,1393,360,6000,2191,3883,8651,6165,3680,3473,5392,6095
"E14000719",105647,41361,43234,43381,87201,78721,78721,52941,81458,101997,6058,11236,29074,25252,15540,1014,12870.0270053,6079,33071,40979,7973,94891,2017,1458,395,297,3778,1263,1548,88382,3219,2294,748,7685,3524,836,13480,13900,5830,9940,28199,5666,6904,3352,23752.4719933,9408,22289,12978,35438,12653,17754,8309,31246,9333,2148,15334,37607,174,3764,2731,426,7521,1839,2700,9838,3465,2484,2277,6766,5834
"E14000720",128036,50948,51465,52694,99435,95488,95488,61235,98753,121068,11017,16068,52592,22148,8421,360,65143.8898446,700,54958,30224,10868,73931,7779,5288,1132,2917,4273,25072,7644,81378,6644,5595,8342,6725,3493,262,1039,2322,9171,40133,14791,19003,16550,15833,30329.35299644,9398,19258,8797,41901,10782,2554,33779,8483,15449,6321,18127,43108,33,2468,1592,195,7013,1862,4014,14732,3689,3474,2492,7873,6320
"E14000721",118234,50742,50943,51662,95710,91935,91935,57321,94575,113263,8132,13170,50051,20602,8351,263,78219.2991078,1137,57307,23215,11819,60686,8090,2311,773,3263,5910,31786,5415,72629,6802,3206,5733,5947,3739,407,888,2106,6760,41856,11762,25427,12899,16874,33931.41235163,8550,19716,9309,39690,11767,2258,30467,7118,16775,6886,14393,42928,20,2058,1422,244,6641,1966,3969,14267,4560,3419,2276,5602,6124
"E14000722",87319,36549,37913,37961,70757,63188,63188,39589,70373,84125,5379,10070,22476,22392,15511,706,13886.8855664,403,22336,34951,7823,77765,1745,2003,2182,372,771,1282,1199,82699,388,362,907,6192,4228,6,6653,17576,7990,5711,25033,7395,3516,1855,31345.46087808,10569,24251,8400,13410,4366,11896,5192,29550,3476,3276,11424,28165,35,3425,5099,711,7034,1969,1721,2879,2089,1688,2342,4068,4756
"E14000723",100865,42798,44531,44617,79700,72601,72601,45392,79066,96498,7077,12673,27783,25180,14586,665,17825.4119866,647,26658,36509,10659,83389,1510,816,12925,471,863,561,330,90410,709,2153,2866,7133,3711,17,4508,12264,20116,7706,27150,7515,7523,3329,33421.16900435,10130,28551,9684,15746,5270,10479,6310,31092,6348,4262,13828,31564,63,3494,6257,550,6793,2136,2124,2902,4910,1991,2349,4226,5903
"E14000724",88519,36912,38217,38225,73874,65019,65019,43384,71185,86118,4186,9360,19895,26269,17947,816,8409.5883766,2696,18806,41861,7558,86025,742,584,220,21,447,240,240,85270,713,412,149,8213,3657,5,14149,15029,6030,2930,30525,2404,3540,800,26540.37694728,9877,24508,9806,22778,4997,16724,2409,33478,4794,1822,13451,29933,839,3696,4973,594,6431,1782,1851,3804,1581,1472,3370,4903,6174
"E14000725",94995,40755,41897,41905,76722,69996,69996,43521,76011,91228,6199,10878,24921,25750,14349,522,15436.8110224,714,27659,33961,9213,93048,940,201,31,49,424,189,113,92966,373,495,219,6643,5028,8,6889,14771,15311,4908,26327,9586,4383,2043,38542.81528653,11254,29970,9644,13342,4687,11838,3933,33027,5454,3914,12307,31214,57,3450,5360,1129,8228,2959,2011,3454,1574,2269,2844,3383,5112
"E14000726",118236,52319,52772,54324,99223,94665,94665,63758,97816,113481,7486,10444,50940,22296,9826,453,83539.6726081,1413,56690,28356,10575,74869,6944,2509,1212,790,7675,16722,7515,68820,9613,4458,3436,7544,3552,826,863,2734,9634,41054,16879,17958,16716,16249,32039.7733761,8246,16968,10622,47090,11417,3377,37282,9007,13840,5006,13084,50674,52,2778,1506,256,7038,2225,4900,16130,6224,3426,2084,5695,6486
"E14000727",129989,58341,59044,60973,108069,101362,101362,70351,106750,124301,8922,11972,55582,25712,13658,691,73557.8033706,1330,54338,37893,11420,85170,7684,5009,1681,1894,8605,13214,6732,73981,10515,4517,3764,9403,3565,373,1798,3799,6287,49067,22620,13671,21066,16350,32777.34312212,9407,16326,9260,58371,9632,5668,44171,10844,9671,4606,14671,55680,40,2641,1521,267,7139,1809,4117,19508,9357,3181,2170,6292,6671
"E14000728",100662,39736,41621,41629,82411,73057,73057,49127,78880,97499,5354,11585,24350,27250,18172,892,12051.9799408,3561,24227,43500,8367,83432,1717,10690,1165,153,1738,877,890,90050,953,839,984,7329,4269,25,14555,16267,6875,3832,31628,3279,4426,1563,28759.70440446,10961,27326,11038,22858,7133,16701,3722,35889,6847,2149,14981,34146,345,3660,5271,728,9028,1851,2103,4456,2464,2245,2899,5993,5975
"E14000729",92163,38878,40197,40230,73605,66342,66342,45724,73213,88195,6527,10898,25977,23390,13739,601,16374.3953776,399,24525,33999,9723,82846,1880,1128,639,397,1688,3158,427,82967,1078,2075,961,6386,4083,33,5163,6721,18831,9412,23191,11141,4180,3693,28753.25583424,9186,28912,8251,13550,4281,13286,6400,32024,5812,3238,12570,33154,128,4540,4261,494,9065,3013,2020,3887,2056,2472,2125,3650,6039
"E14000730",101334,44001,45822,46004,83072,73052,73052,52408,81106,97886,5702,11321,26141,27889,18392,1146,15834.0283447,2042,23938,42332,10274,96973,1264,503,96,65,1236,902,295,92097,1588,2011,614,8547,3650,6,11545,14570,9287,10334,31608,4033,7800,2219,29639.40895298,10217,26248,9824,28839,4344,15989,4435,34661,9747,2029,15127,37281,444,3464,3207,436,8902,1618,3653,6633,3253,2264,3064,5000,7421
"E14000731",103761,35102,36073,36108,83206,75783,75783,48800,82588,99749,6647,12560,30314,24862,14531,796,19947.5656269,625,25682,45793,6193,40712,3563,32794,3054,559,11043,8679,3357,57290,2257,5768,6227,3774,5318,95,4169,16602,6447,8886,23998,3670,6926,5767,23318.6036027,11160,21839,8402,27232,8494,12639,19257,23704,3409,3470,14099,34701,14,4988,2112,334,9561,2691,1980,6961,3874,2488,2185,4094,5256
"E14000732",104165,37129,38139,38230,82679,76828,76828,50282,81776,99597,7398,12708,34371,23407,11946,505,23579.9058379,1242,29205,42434,6662,41819,4783,23963,3980,693,16041,9738,3148,57770,3203,4724,5008,4814,4630,154,2454,13162,8474,14131,22752,4049,9792,7010,21938.88540984,10086,20586,8938,31817,8935,9877,22681,20516,4699,3602,13685,36597,14,3530,2191,283,8244,2960,2521,8456,3815,2648,2462,5185,5485
"E14000733",92028,40434,42102,42119,74228,66804,66804,37767,73296,88600,5698,10845,22491,25163,15065,533,17074.408656,937,25531,33327,9163,89899,550,266,291,214,533,170,105,89614,400,469,370,6733,4143,14,6963,13714,15768,5565,24394,9515,5971,1744,40381.53008594,9924,26125,9276,13063,4718,9593,3806,27265,5651,5194,12186,25581,139,4031,4410,1205,5657,1575,1938,2156,1377,1603,2552,3641,5829
"E14000734",91170,38128,40119,40151,75639,66746,66746,42205,72596,88576,4449,10026,19529,26378,18306,907,7818.1265939,3058,21396,39605,8858,87693,1021,312,54,54,1123,570,343,85729,1250,780,258,7791,3792,108,16466,12743,5950,4742,29214,3363,5079,1507,31624.40928086,10453,26758,9455,18343,6246,15968,4421,29597,5238,2112,13694,28511,683,3954,3125,468,6691,2777,1924,3685,2578,1947,2069,4945,5368
"E14000735",107984,49289,52057,52345,88756,78963,78963,48360,86852,104237,6205,11689,26283,30063,19346,1126,22369.2199283,1950,30608,37181,14043,101974,2116,512,85,286,1380,1107,524,99799,1421,1522,649,8581,3859,57,12026,10865,11484,17696,29072,6905,12752,4170,46379.69942544,11797,31832,10508,19368,5145,12837,5842,30881,8404,4030,15809,32551,353,4821,3251,501,7941,1993,2954,3504,2239,2006,3244,4535,8462
"E14000736",91875,38976,40213,40246,74929,65355,65355,41703,73908,88707,5245,10496,21001,25036,18241,926,12745.7581557,1036,22032,36457,10079,89172,1171,384,35,122,515,320,156,87528,991,691,220,7021,4009,5,10505,10984,10571,8009,26197,8322,4033,2539,31325.32365652,10025,27025,8817,16599,3977,13742,3755,30816,5314,2762,12881,28822,111,4412,4803,1115,6831,1842,2200,3383,1484,2300,2557,3763,5026
"E14000737",110133,37412,38640,38666,83753,78797,78797,49819,82818,104375,9457,15377,35597,22743,10289,435,20163.2892428,946,30140,39907,9119,47793,4527,21118,6139,1180,11799,13080,4497,67307,2736,4009,5678,4008,4575,223,2510,16143,9095,10815,21129,7940,7884,8670,23391.29003141,9782,26309,8467,19256,9597,11000,16123,28604,3798,4419,13467,36352,40,3692,2727,432,8749,7797,4093,4289,1908,3641,2110,3621,4797
"E14000738",79173,34098,35237,35244,64959,57080,57080,37622,64244,76666,4404,8811,18105,22633,15956,739,10605.9239583,736,18420,33566,7487,76552,949,294,316,81,510,283,188,76441,538,347,172,6081,3786,2,9362,14921,6739,4189,26559,4298,2916,1263,28739.14141636,9616,22650,8024,18129,3455,13051,4769,27241,3638,1931,11093,26529,78,3078,3798,525,5970,1756,1521,4042,2293,1787,2066,3813,5152
"E14000739",99084,41134,42497,42520,79312,71584,71584,50349,78504,94804,6827,11680,27902,25717,14247,735,15473.5687988,824,26308,37868,9805,88016,2253,2022,1892,246,1681,2625,349,88775,1254,1355,699,7309,4272,19,6935,9763,15051,10701,25076,10793,4904,2976,27203.48115075,10183,28999,9298,20721,4685,16290,5742,36178,5769,2975,13474,36875,148,4620,3297,436,9383,3091,2317,6686,2476,2981,2566,4460,5234
